trial_no,param_hash,params,feature_k,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,p_feature_k
1,2447ca4d781361c4,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True, 'feature_k': 11}",11,-1.8924823201265992,1.8924823201265992,1.9607971372774693,0.06831481715087,0.2149931528128577,0.8888888888888888,0.0109450515523464,0.0162266772245787,0.0093852587554863,2.1,503,8,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True,11
2,a385886d05b4060e,"{'num_leaves': 11, 'max_depth': -1, 'min_child_samples': 3944, 'min_child_weight': 0.0008200518402245837, 'min_split_gain': 0.07286653737491042, 'reg_alpha': 0.002458603276328005, 'reg_lambda': 23.359635026261596, 'subsample': 0.6700762468698006, 'colsample_bytree': 0.4232229409068673, 'learning_rate': 0.015636765183901856, 'max_bin': 127, 'path_smooth': 0.010842262717330166, 'extra_trees': False, 'feature_k': 20}",20,-1.8937839861510348,1.8937839861510348,2.593043342019048,0.6992593558680131,0.2781557720661805,1.0,0.0099315492673718,0.0161543484970093,0.00837922634921,7.9,1392,11,-1,3944,0.0008200518402245,0.0728665373749104,0.002458603276328,23.3596350262616,0.6700762468698006,0.4232229409068673,0.0156367651839018,127,0.0108422627173301,False,20
3,b79df42d6acd22ac,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 663, 'min_child_weight': 0.001465655388622534, 'min_split_gain': 1.5167330688076188e-05, 'reg_alpha': 0.01217295809836997, 'reg_lambda': 45.44383960336016, 'subsample': 0.6283766633467947, 'colsample_bytree': 0.5185607058124284, 'learning_rate': 0.017444803725696106, 'max_bin': 127, 'path_smooth': 0.0019870215385428634, 'extra_trees': False, 'feature_k': 5}",5,-1.911195385298912,1.911195385298912,2.6153933500885613,0.7041979647896499,0.2952169920786333,1.0,0.009929575513143,0.0164904081228796,0.0084072311368013,2.2,725,4,2,663,0.0014656553886225,1.5167330688076188e-05,0.0121729580983699,45.44383960336016,0.6283766633467947,0.5185607058124284,0.0174448037256961,127,0.0019870215385428,False,5
4,34f4396ee4636645,"{'num_leaves': 3, 'max_depth': -1, 'min_child_samples': 677, 'min_child_weight': 0.0001551225912648476, 'min_split_gain': 0.0, 'reg_alpha': 0.017535949529764425, 'reg_lambda': 4.4706085467784895, 'subsample': 0.814803089169032, 'colsample_bytree': 0.7325344828131278, 'learning_rate': 0.038564059735781746, 'max_bin': 63, 'path_smooth': 0.7128188058401367, 'extra_trees': False, 'feature_k': 53}",53,-1.9668268127840725,1.9668268127840725,2.6401785584261246,0.6733517456420521,0.292862725876999,1.0,0.0095791442229446,0.0159783530740025,0.0080604575401256,3.7,481,3,-1,677,0.0001551225912648,0.0,0.0175359495297644,4.4706085467784895,0.814803089169032,0.7325344828131278,0.0385640597357817,63,0.7128188058401367,False,53
5,30294fe220c0513f,"{'num_leaves': 12, 'max_depth': 6, 'min_child_samples': 908, 'min_child_weight': 0.01847793417351926, 'min_split_gain': 9.935023909063687e-05, 'reg_alpha': 0.008226074946221037, 'reg_lambda': 1.4254757044027435, 'subsample': 0.594875726456884, 'colsample_bytree': 0.4467327723524026, 'learning_rate': 0.04252728490529761, 'max_bin': 63, 'path_smooth': 3.06085221067225, 'extra_trees': False, 'feature_k': 86}",86,-1.9590248893518625,1.9590248893518625,2.6631643551434725,0.7041394657916102,0.2936964741362976,0.8888888888888888,0.0095332697513738,0.015816650910008,0.0079927074589784,2.2,192,12,6,908,0.0184779341735192,9.935023909063689e-05,0.008226074946221,1.4254757044027435,0.594875726456884,0.4467327723524026,0.0425272849052976,63,3.06085221067225,False,86
6,fd4f9b175e794ec1,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 1314, 'min_child_weight': 0.001787446325623842, 'min_split_gain': 0.0, 'reg_alpha': 0.007734482156646798, 'reg_lambda': 1.7367237151593158, 'subsample': 0.6188075857018139, 'colsample_bytree': 0.9157458223475115, 'learning_rate': 0.010523808491663062, 'max_bin': 127, 'path_smooth': 0.02847858516856297, 'extra_trees': False, 'feature_k': 7}",7,-1.8774698654923,1.8774698654923,2.6170060074828725,0.7395361419905726,0.288978006582257,1.0,0.0099279295853993,0.0160671004665385,0.0084412963214338,1.6,490,4,2,1314,0.0017874463256238,0.0,0.0077344821566467,1.7367237151593158,0.6188075857018139,0.9157458223475116,0.010523808491663,127,0.0284785851685629,False,7
7,f2dbc3298c2434f2,"{'num_leaves': 12, 'max_depth': 4, 'min_child_samples': 341, 'min_child_weight': 0.002940074130903307, 'min_split_gain': 0.0, 'reg_alpha': 8.761971101023693, 'reg_lambda': 3.0486708834580667, 'subsample': 0.7860677737029392, 'colsample_bytree': 0.8069717691972305, 'learning_rate': 0.008641866406575374, 'max_bin': 63, 'path_smooth': 0.3382387201936217, 'extra_trees': False, 'feature_k': 4}",4,-1.916446609773805,1.916446609773805,2.622501789547562,0.7060551797737575,0.2948031147155812,1.0,0.0099422043810343,0.016502309218842,0.0084363165058812,2.5,652,12,4,341,0.0029400741309033,0.0,8.761971101023693,3.0486708834580667,0.7860677737029392,0.8069717691972305,0.0086418664065753,63,0.3382387201936217,False,4
8,06632830269f065c,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 2556, 'min_child_weight': 0.0014461256820152153, 'min_split_gain': 4.9827112000811324e-05, 'reg_alpha': 5.583672722754823, 'reg_lambda': 1.8838307787619746, 'subsample': 0.6205331755251292, 'colsample_bytree': 0.4180841127443534, 'learning_rate': 0.04204008859772418, 'max_bin': 63, 'path_smooth': 0.4364516946807793, 'extra_trees': False, 'feature_k': 20}",20,-1.9516293806244995,1.9516293806244995,2.600702130905559,0.6490727502810594,0.2832248195305251,1.0,0.0097040405921585,0.015957909783257,0.0081890044491392,2.8,404,32,5,2556,0.0014461256820152,4.982711200081133e-05,5.583672722754823,1.8838307787619744,0.6205331755251292,0.4180841127443534,0.0420400885977241,63,0.4364516946807793,False,20
9,50d7a7eb88eed21f,"{'num_leaves': 5, 'max_depth': 3, 'min_child_samples': 3550, 'min_child_weight': 0.008435191341743056, 'min_split_gain': 0.0, 'reg_alpha': 0.0021705003488711127, 'reg_lambda': 2.105025824748384, 'subsample': 0.8992770942635395, 'colsample_bytree': 0.7138574357957539, 'learning_rate': 0.005107014088805241, 'max_bin': 127, 'path_smooth': 0.001047722656409829, 'extra_trees': True, 'feature_k': 39}",39,-1.9174488996428607,1.9174488996428607,2.620339244993215,0.7028903453503539,0.2867814025723723,1.0,0.009812056230375,0.0160235701921405,0.0082357824847028,12.2,2995,5,3,3550,0.008435191341743,0.0,0.0021705003488711,2.105025824748384,0.8992770942635395,0.7138574357957539,0.0051070140888052,127,0.0010477226564098,True,39
10,3929f1095373087b,"{'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 282, 'min_child_weight': 0.001268082208042942, 'min_split_gain': 0.0, 'reg_alpha': 0.011502956321912736, 'reg_lambda': 3.0759501068720385, 'subsample': 0.9365052773762228, 'colsample_bytree': 0.5858586348000562, 'learning_rate': 0.038995685532633356, 'max_bin': 127, 'path_smooth': 0.10245858939867322, 'extra_trees': False, 'feature_k': 5}",5,-1.9190003857001847,1.9190003857001847,2.6506011532890086,0.7316007675888239,0.2931846673044133,1.0,0.0098339649837824,0.0163276797551402,0.0083389074967319,0.9,151,21,8,282,0.0012680822080429,0.0,0.0115029563219127,3.0759501068720385,0.9365052773762228,0.5858586348000562,0.0389956855326333,127,0.1024585893986732,False,5
